"","x"
"1613",7.29
"1614",7.28
"1615",7.27
"1616",6.69
"1617",6.69
"1618",6.69
"1619",6.63
"1620",6.63
"1621",6.46
"1622",6.46
"1623",6.58
"1624",6.41
"1625",6.35
"1626",6.64
"1627",6.1
"1628",4.44
"1629",4.44
"1630",4.63
"1631",4.63
"1632",4.62
"1633",4.64
"1634",4.63
"1635",4.63
"1636",4.61
"1637",4.61
"1638",4.6
"1639",6.69
"1640",6.69
"1641",6.68
"1642",6.68
"1643",6.68
"1644",6.77
"1645",7.97
"1646",7.6
"1647",7.6
"1648",7.35
"1649",7.35
"1650",8.18
"1651",8.17
"1652",8.2
"1653",8.2
"1654",8.21
"1655",8.21
"1656",8.21
"1657",9.2
"1658",9.36
"1659",8.95
"1660",8.84
"1661",8.84
"1662",8.63
"1663",14.27
"1664",14.27
"1665",14.26
"1666",14.26
"1667",14.28
"1668",14.26
"1669",9
"1670",9
"1671",8.97
"1672",8.98
"1673",8.55
"1674",8.55
"1675",8.23
"1676",8.23
"1677",8.23
"1678",8.23
"1679",8.23
"1680",8.23
"1681",8.22
"1682",4.92
"1683",4.96
"1684",4.96
"1685",6.34
"1686",6.43
"1687",6.46
"1688",6.85
"1689",6.81
"1690",6.83
"1691",6.7
"1692",6.93
"1693",6.23
"1694",6.22
"1695",5.97
"1696",5.97
"1697",5.8
"1698",5.8
"1699",5.8
"1700",5.78
"1701",5.8
"1702",5.8
"1703",5.8
"1704",5.8
"1705",5.79
"1706",5.78
"1707",5.78
"1708",5.33
"1709",5.33
"1710",5.35
"1711",5.35
"1712",5.71
"1713",5.71
"1714",5.76
"1715",5.76
"1716",5.69
"1717",5.69
"1718",5.68
"1719",5.69
"1720",6.76
"1721",6.76
"1722",6.76
"1723",6.65
"1724",6.67
"1725",7.04
"1726",7.04
"1727",7.05
"1728",6.96
"1729",6.41
"1730",6.48
"1731",10.78
"1732",10.14
"1733",9.83
"1734",9.82
"1735",9.88
"1736",10.54
"1737",10.53
"1738",10.71
"1739",10.72
"1740",10.27
"1741",10.19
"1742",10.62
"1743",10.63
"1744",10.6
"1745",11.23
"1746",12.04
"1747",12.01
"1748",11.98
"1749",12
"1750",12
"1751",11.53
"1752",11.57
"1753",11.26
"1754",11.27
"1755",11.28
"1756",10.8
"1757",11.57
"1758",11.55
"1759",11.53
"1760",11.9
"1761",11.73
"1762",11.53
"1763",11.53
"1764",11.29
"1765",11.29
"1766",11.29
"1767",11.29
"1768",11.27
"1769",11.32
"1770",11.32
"1771",10.68
"1772",10.21
"1773",10.2
"1774",10.4
"1775",10.32
"1776",10.26
"1777",10.18
"1778",10.22
"1779",10.1
"1780",10.26
"1781",10.26
"1782",10.26
"1783",10.71
"1784",10.11
"1785",10.11
"1786",10.07
"1787",10.04
"1788",10
"1789",10
"1790",10
"1791",10
"1792",10.04
"1793",9.96
"1794",9.96
"1795",9.96
"1796",9.97
"1797",9.95
"1798",9.95
"1799",10.04
"1800",10.04
"1801",10.02
"1802",9.95
"1803",10.25
"1804",10.34
"1805",10.34
"1806",10.33
"1807",10.29
"1808",10.29
"1809",10.35
"1810",10.37
"1811",9.8
"1812",9.84
"1813",9.36
"1814",9.36
"1815",9.37
"1816",9.37
"1817",9.44
"1818",9.43
"1819",9.43
"1820",9.13
"1821",9.12
"1822",8.64
"1823",9.3
"1824",9.43
"1825",9.06
"1826",9.47
"1827",10.55
"1828",10.56
"1829",10.56
"1830",5.47
"1831",5.44
"1832",5.43
"1833",5.43
"1834",5.44
"1835",5.41
"1836",5.41
"1837",10.56
"1838",10.58
"1839",10.57
"1840",11.04
"1841",11.04
"1842",10.56
"1843",10.56
"1844",10.17
"1845",10.14
"1846",10.14
"1847",10.16
"1848",10.15
"1849",10.16
"1850",10.2
"1851",10.2
"1852",10.31
"1853",10.17
"1854",10.15
"1855",11.28
"1856",10.84
"1857",10.86
"1858",9.69
"1859",9.69
"1860",9.78
"1861",9.77
"1862",9.78
"1863",9.72
"1864",9.72
"1865",10.19
"1866",9.64
"1867",9.64
"1868",10.04
"1869",9.94
"1870",9.86
"1871",9.86
"1872",9.83
"1873",9.8
"1874",9.8
"1875",8.89
"1876",8.91
